"","partcipantId","teamId","participantId","win","item0","item1","item2","item3","item4","item5","item6","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","inhibitorKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist","combatPlayerScore","objectivePlayerScore","totalPlayerScore","totalScoreRank","playerScore0","playerScore1","playerScore2","playerScore3","playerScore4","playerScore5","playerScore6","playerScore7","playerScore8","playerScore9","platformId","accountId","summonerName","summonerId","currentPlatformId","currentAccountId","matchHistoryUri","profileIcon","duration"
"33428886168",9,200,9,TRUE,3142,3036,3147,3009,3812,3031,3340,23,8,11,13,2,3,952,2,0,0,0,0,324245,4092,314823,5330,1593,58163,1549,53926,2688,17684,1,45569,24222,5988,57,17,48457,13137,27296,8024,22484,22275,1,0,308,19,16,3,605,18,1,0,22,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",35512027,"Mashu",31860960,"EUW1",35512027,"/v1/stats/player_history/EUW1/35512027",691,2544
"33428886169",10,200,10,TRUE,1054,3143,3068,3047,3075,3742,3340,6,1,15,6,1,1,472,0,0,0,0,0,134144,86595,47435,114,35,15829,8592,7122,114,6134,1,63953,10389,4179,29,54,28964,11030,16176,1757,14822,13350,1,1,192,11,10,1,526,18,0,0,15,3,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",228247387,"RKS Reidoz",87978165,"EUW1",228247387,"/v1/stats/player_history/EUW1/228247387",3015,2544
"33404094950",1,100,1,TRUE,2055,3100,2003,3198,3108,3111,3340,2,3,2,0,1,0,623,0,0,0,0,0,113892,97919,15604,368,0,10956,10648,307,0,2333,1,10089,6417,4841,11,4,11291,6125,4479,687,9945,8950,1,0,150,23,13,2,30,15,2,0,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",204590300,"Nailed by Borgo",46323568,"EUW1",204590300,"/v1/stats/player_history/EUW1/204590300",1445,1573
"33404094951",2,100,2,TRUE,3111,2301,3107,3504,1029,0,3364,1,0,14,0,1,0,0,0,0,0,0,0,17477,11644,5450,382,0,4893,3815,868,209,1382,2,3951,3145,2855,28,19,7268,3303,3887,78,9320,8450,0,2,13,1,0,0,213,13,2,0,12,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",24449622,"lolsayer",21060547,"EUW1",24449622,"/v1/stats/player_history/EUW1/24449622",3014,1573
"33404094952",3,100,3,TRUE,1053,3140,3006,3085,3031,3087,3363,10,4,4,6,2,2,709,1,0,0,0,0,126027,9968,109818,6240,604,15347,1428,12330,1588,3877,2,7083,12600,7292,9,10,15463,6283,7893,1286,13469,12550,3,1,207,8,7,1,453,15,0,0,6,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",200528665,"Flairix",41118742,"EUW1",200528665,"/v1/stats/player_history/EUW1/200528665",1593,1573
"33404094953",4,100,4,TRUE,3047,3193,2031,3078,3742,1028,3340,5,6,9,3,3,2,384,1,1,0,0,0,118442,20007,98313,121,0,17020,4626,12393,0,505,1,28473,8872,8872,10,17,30964,14294,16124,545,11688,11058,4,0,161,0,0,0,129,14,1,0,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",26112480,"FreshDumbledog",22273336,"EUW1",26112480,"/v1/stats/player_history/EUW1/26112480",785,1573
"33404094954",5,100,5,TRUE,3071,1408,2031,3111,3156,3134,3340,11,4,6,4,2,3,485,1,0,0,0,0,136001,21794,109268,4938,0,14773,2595,11748,430,6839,1,22610,18243,1326,38,19,23961,8062,15439,459,12573,11300,0,0,23,86,46,25,741,15,1,0,17,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",42427404,"Thanh Kench",40279245,"EUW1",42427404,"/v1/stats/player_history/EUW1/42427404",1629,1573
"33404094955",6,200,6,FALSE,1055,3004,3158,3078,1036,0,3340,3,2,1,0,1,0,723,0,0,0,0,0,80911,11834,67617,1460,0,12291,3739,8265,286,987,2,4946,226,226,15,3,9218,3412,5471,335,8192,7958,0,0,149,1,1,0,176,13,1,0,10,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",41808027,"RKS MC One",39619524,"EUW1",41808027,"/v1/stats/player_history/EUW1/41808027",3020,1573
"33404094956",7,200,7,FALSE,1409,3190,3047,3211,2031,1028,3364,2,5,6,0,1,0,626,0,0,0,0,0,89337,65366,17801,6170,310,6759,5098,1473,188,6757,1,22932,1631,0,36,24,21033,5385,15087,559,8050,7700,0,0,78,31,23,0,527,13,2,0,18,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",28537998,"Kazeel",24136128,"EUW1",28537998,"/v1/stats/player_history/EUW1/28537998",3014,1573
"33404094957",8,200,8,FALSE,3116,1052,3165,1058,3020,1026,3340,10,6,2,4,2,3,553,1,0,0,0,0,131985,114338,15388,2258,0,22006,18865,1558,1582,413,1,7173,3678,3678,14,25,17014,5692,10748,574,12379,14185,2,0,195,2,2,0,545,15,0,0,9,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",35512027,"Mashu",31860960,"EUW1",35512027,"/v1/stats/player_history/EUW1/35512027",24,1573
